X,Y,id,id_hidra,tipo_hidra,diametro_b,cota_impla,levantamen,foto_inter,foto_exter,origem_dad,proprietar,observacoe
-8.14346852227474,40.7289842456632,"1","1","2","6","357.45","1",,FOTOS\OF-SV-9378,"1","1",
-8.1437784022235,40.7281917360532,"2","2","2","6","350.34","1",,FOTOS\OF-SV-9370,"1","1",
-8.14698926820667,40.7295322661082,"3","3","2","6","336.52","1",,FOTOS\OF-SV-9371,"1","1",
-8.14722232435264,40.7278602772253,"4","4","2","6","327.09","1",,FOTOS\OF-SV-9372,"1","1",
-8.14287213292007,40.7275024877708,"5","5","2","6","358.09","1",,FOTOS\OF-SV-9377,"1","1",
-8.14231182969778,40.7268297115059,"6","6","2","6","361.78","1",,FOTOS\OF-SV-9376,"1","1",
-8.14146127803669,40.7266445150097,"7","7","2","6","364.4","1",,FOTOS\OF-SV-9375,"1","1",
-8.1436261878635,40.7264588157188,"8","8","2","6","341.34","1",,FOTOS\OF-SV-9369,"1","1",
-8.15080009474077,40.7214711845447,"9","9","2","6","378.58","1",,FOTOS\OF-SV-9363,"1","1",
-8.15447786037332,40.7190436048313,"10","10","2","6","382.24","1",,FOTOS\OF-SV-9360,"1","1",
-8.15491767946939,40.7200570797848,"11","11","2","6","373.97","1",,FOTOS\OF-SV-9359,"1","1",
-8.15509246700382,40.7185038242072,"12","12","2","6","389.91","1",,FOTOS\OF-SV-9361,"1","1",
-8.15386061036398,40.7181540879297,"13","13","2","6","396.4","1",,FOTOS\OF-SV-9354,"1","1",
-8.15262884461224,40.7181524027236,"14","14","2","6","403.5","1",,FOTOS\OF-SV-9357,"1","1",
-8.15091396138132,40.7176692153695,"15","15","2","6","403.53","1",,FOTOS\OF-SV-9352,"1","1",
-8.14573783621928,40.7187816375237,"16","16","2","6","403.83","1",,FOTOS\OF-SV-9351,"1","1",
-8.16314301870679,40.7188768826267,"17","17","2","6","397.3","1",,FOTOS\OF-SV-9347,"1","1",
-8.16414828978963,40.7217053895103,"18","18","2","6","426.38","1",,FOTOS\OF-SV-9350,"1","1",
-8.16466300288094,40.7066929567022,"19","19","2","6","471.42","1",,FOTOS\OF-SV-9334,"1","1",
-8.16525321252896,40.7062961374307,"20","20","2","6","473.86","1",,FOTOS\OF-SV-9335,"1","1",
-8.14989189170408,40.7045707832827,"21","21","2","6","488.1","1",,FOTOS\OF-SV-9338,"1","1",
-8.15376027769978,40.7103267434262,"22","22","2","6","467.94","1",,FOTOS\OF-SV-9343,"1","1",
-8.15026410361305,40.7081920287253,"23","23","2","6","469.29","1",,FOTOS\OF-SV-9342,"1","1",
-8.17362754835146,40.7108768325225,"24","24","2","6","476.24","1",,FOTOS\OF-SV-9322,"1","1",
-8.17217973507492,40.7097273727171,"25","25","2","6","477.82","1",,FOTOS\OF-SV-9323,"1","1",
-8.16668223521377,40.7059240363418,"26","26","2","6","479.11","1",,FOTOS\OF-SV-9337,"1","1",
-8.16677097111475,40.7052855291586,"27","27","2","6","473.17","1",,FOTOS\OF-SV-9326,"1","1",
-8.16361802425454,40.6993526576736,"28","28","2","6","476.63","1",,FOTOS\OF-SV-9328,"1","1",
-8.16582450014086,40.7012690061943,"29","29","2","6","467.95","1",,FOTOS\OF-SV-9329,"1","1",
-8.16561505398698,40.7027266222186,"30","30","2","6","467.52","1",,FOTOS\OF-SV-9330,"1","1",
-8.14715447264109,40.7247000481601,"31","31","2","6","346.96","1",,FOTOS\OF-SV-9364,"1","1",
-8.16634588068306,40.7043850544666,"32","32","2","6","471.55","1",,FOTOS\OF-SV-9331,"1","1",
-8.25534005857807,40.7416336346368,"33","33","2","6","315.53","1",,FOTOS\WIN_20180810_15_06_48_Pro.jpg,"1","1",
-8.25568852555957,40.7416499514209,"34","34","2","6","320.8","1",,FOTOS\WIN_20180810_15_05_06_Pro.jpg,"1","1",
-8.27238168689659,40.7359135533113,"35","35","2","6","340.53","1",,FOTOS\WIN_20180808_16_48_36_Pro.jpg,"1","1",
-8.27558446216822,40.7373889390157,"36","36","2","6","346.91","1",FOTOS\WIN_20180808_16_16_31_Pro.jpg,FOTOS\WIN_20180808_16_16_40_Pro.jpg,"1","1",
-8.24786829553197,40.7557828893811,"37","37","2","6","148.22","1",,FOTOS\WIN_20180810_15_40_08_Pro.jpg,"1","1",
-8.25146638362891,40.7567060563646,"38","38","2","6","149.13","1",,FOTOS\WIN_20180810_15_49_59_Pro.jpg,"1","1",
-8.25158231068645,40.755392704869,"39","39","2","6","150.18","1",,FOTOS\WIN_20180810_15_45_13_Pro.jpg,"1","1",
-8.25349822758833,40.7540155599145,"40","40","2","6","131.14","1",,FOTOS\WIN_20180810_15_54_26_Pro.jpg,"1","1",
-8.25464503605228,40.7420094912234,"41","41","2","6","303.5","1",,FOTOS\WIN_20180810_15_15_09_Pro.jpg,"1","1",
-8.25399820139365,40.7400979137812,"42","42","2","6","329.79","1",,FOTOS\WIN_20180810_14_57_34_Pro.jpg,"1","1",
-8.25144008605303,40.7403961296013,"43","43","2","6","331.23","1",,FOTOS\WIN_20180810_14_53_34_Pro.jpg,"1","1",
-8.25446256755073,40.7391731055796,"44","44","2","6","338.81","1",,FOTOS\WIN_20180810_14_47_58_Pro.jpg,"1","1",
-8.25510908280699,40.7404044132948,"45","45","2","6","333.62","1",,FOTOS\WIN_20180810_15_00_27_Pro.jpg,"1","1",
-8.25659244757529,40.7427789465465,"46","46","2","6","308.63","1",,FOTOS\WIN_20180810_15_22_24_Pro.jpg,"1","1",
-8.25958239166675,40.7322387050336,"47","47","2","6","364.47","1",,FOTOS\WIN_20180810_12_57_07_Pro.jpg,"1","1",
-8.26246153346371,40.7278090839879,"48","48","2","6","383.62","1",,FOTOS\WIN_20180810_12_42_28_Pro.jpg,"1","1",
-8.26343468719289,40.7295596732892,"49","49","2","6","371.72","1",,FOTOS\WIN_20180810_12_59_58_Pro.jpg,"1","1",
-8.27201980602813,40.7244370654762,"50","50","2","6","335.84","1",FOTOS\WIN_20180810_12_37_49_Pro.jpg,FOTOS\WIN_20180810_12_37_59_Pro.jpg,"1","1",
-8.27726741022621,40.7236648773156,"51","51","2","6","359.15","1",,FOTOS\WIN_20180810_12_29_39_Pro.jpg,"1","1",
-8.27861878330384,40.7251887648176,"52","52","2","6","371.67","1",,FOTOS\WIN_20180808_16_59_31_Pro.jpg,"1","1",
-8.27559141576255,40.7277572004426,"53","53","2","6","356.16","1",,FOTOS\WIN_20180810_12_26_50_Pro.jpg,"1","1",
-8.27684923945912,40.7342050675954,"54","54","2","6","368.52","1",FOTOS\WIN_20180808_15_27_11_Pro.jpg,FOTOS\WIN_20180808_15_28_09_Pro.jpg,"1","1",
